Opponent,Rank,Points,Win,Draw,Lose,WinRate,DrawRate,LoseRate,Result
Denmark,1,2142.9,13,0,6,0.684210526,0,0.315789474,-1
Spain,2,2068.4,17,1,2,0.85,0.05,0.1,-1
France,3,2059.2,11,2,3,0.6875,0.125,0.1875,-1
Sweden,4,1955.2,14,2,6,0.636363636,0.090909091,0.272727273,-1
Norway,5,1946.9,11,2,4,0.647058824,0.117647059,0.235294118,-1
Germany,6,1915.8,14,1,7,0.636363636,0.045454545,0.318181818,-1
Egypt,7,1830.7,0,0,3,0,0,1,0
Croatia,8,1758.8,7,0,6,0.538461538,0,0.461538462,-1
Slovenia,9,1724.1,5,2,5,0.416666667,0.166666667,0.416666667,0
Iceland,10,1714.1,11,1,5,0.647058824,0.058823529,0.294117647,-1
Serbia,11,1676,3,2,4,0.333333333,0.222222222,0.444444444,0
Hungary,12,1657.5,4,3,7,0.285714286,0.214285714,0.5,1
Portugal,13,1656.6,1,1,3,0.2,0.2,0.6,1
Russia,14,1635.1,4,2,9,0.266666667,0.133333333,0.6,1
Nederlands,15,1590.8,3,0,7,0.3,0,0.7,1
Brazil,16,1578.3,2,0,5,0.285714286,0,0.714285714,1
Qtar,17,1576.8,4,0,1,0.8,0,0.2,-1
Balerus,18,1576,4,1,10,0.266666667,0.066666667,0.666666667,1
Czech Republic,19,1569,5,0,10,0.333333333,0,0.666666667,1
Argentina,20,1559.6,2,1,5,0.25,0.125,0.625,1
Tunisia,21,1548.4,3,1,8,0.25,0.083333333,0.666666667,1
Austria,22,1457.3,0,0,3,0,0,1,0
Bahrain,23,1454.8,0,0,3,0,0,1,0
North Macedonia,25,1427.2,1,0,2,0.333333333,0,0.666666667,1
Chile,26,1412.3,0,0,2,0,0,1,0
Switzerland,27,1403.4,4,1,2,0.571428571,0.142857143,0.285714286,-1
Montenegro,28,1373,0,0,4,0,0,1,0
Romania,29,1342.8,3,1,8,0.25,0.083333333,0.666666667,1
Japan,30,1339.1,0,0,3,0,0,1,1
Bosnia and Herzegovina,31,1319.6,0,0,0,0,0,0,1
Iran,32,1306.9,0,0,3,0,0,1,1
Korea Republic,33,1274.7,2,0,4,0.333333333,0,0.666666667,1
Greece,34,1273.2,1,0,1,0.5,0,0.5,0
USA,35,1272.8,0,0,0,0,0,0,1
Cuba,36,1258.8,0,0,0,0,0,0,1
Ukraine,37,1258.4,2,0,6,0.25,0,0.75,1
Cape Verde Islands,38,1256.3,0,0,0,0,0,0,1
Slovakia,39,1246.4,2,1,11,0.142857143,0.071428571,0.785714286,1
United Arab Emirates,40,1236.2,0,0,1,0,0,1,1
Saudi Arabia,41,1230.3,0,0,4,0,0,1,1
Lithuania,42,1226,0,1,4,0,0.2,0.8,1
Italy,43,1220.2,0,0,1,0,0,1,1
Algeria,44,1215.3,1,0,4,0.2,0,0.8,1
Dominika,45,1215.1,0,0,0,0,0,0,1
Guinea,46,1195.7,0,0,0,0,0,0,1
Greenland,47,1194.5,0,0,0,0,0,0,1
Israel,48,1185.2,1,0,1,0.5,0,0.5,0
Morocco,49,1181.9,0,0,2,0,0,1,1
Kuwait,50,1177.9,0,0,1,0,0,1,1
Angola,51,1164.6,0,0,0,0,0,0,1
Iraq,52,1164.4,0,0,0,0,0,0,1
Georgia,53,1134.3,0,0,1,0,0,1,1
Latvia,54,1146.9,0,0,2,0,0,1,1
Turkey,55,1141.8,0,0,4,0,0,1,1
Finland,56,1133.8,0,0,0,0,0,0,1
Faroe Islands,57,1133.5,0,0,0,0,0,0,1
Puerto Rico,58,1131.7,0,0,0,0,0,0,1
Moldova,59,1131.2,0,0,0,0,0,0,1
Congo DR,60,1125.4,0,0,0,0,0,0,1
Congo ,61,1089.1,0,0,0,0,0,0,1
Bulgaria,62,1086.5,0,0,0,0,0,0,1
Hong Kong,63,1081.7,0,0,0,0,0,0,1
Estonia,64,1079.9,0,0,0,0,0,0,1
Great Britain,65,1077.8,0,0,0,0,0,0,1
Senegal,66,1076.5,0,0,0,0,0,0,1
Urugway,67,1064,0,0,1,0,0,1,1
Vietnam,68,1063,0,0,0,0,0,0,1
Jordan,69,1058.5,0,0,0,0,0,0,1
Mexico,70,1057.7,0,0,0,0,0,0,1
Belgium,71,1053.4,0,0,2,0,0,1,1
England,72,1052.6,0,0,0,0,0,0,1
Cyprus,73,1051,0,0,1,0,0,1,1
Syria,74,1048.3,0,0,0,0,0,0,1
China,75,1044,0,0,1,0,0,1,1
Oman,76,1043.8,0,0,0,0,0,0,1
Kosovo,77,1041.3,0,1,1,0,0.5,0.5,1
Costa Rica,78,1040.3,0,0,0,0,0,0,1
Dominican Republic,79,1031.3,0,0,0,0,0,0,1
Panama,80,1029,0,0,0,0,0,0,1
Cameroon,81,1029.2,0,0,0,0,0,0,1
Venezuela,82,1015.4,0,0,0,0,0,0,1
Libya,83,1013.5,0,0,0,0,0,0,1
Luxembourg,84,1011,0,0,1,0,0,1,1
Zambia,85,1010.5,0,0,0,0,0,0,1
Nigeria,86,1010.1,0,0,0,0,0,0,1
Singapore,87,998.2,0,0,0,0,0,0,1
Gabon,88,997.2,0,0,0,0,0,0,1
Scotland,89,972.8,0,0,0,0,0,0,1
Colombia,90,968.8,0,0,0,0,0,0,1
Kazahstan,91,959.5,0,0,0,0,0,0,1
Ivory Coast,92,954.5,0,0,0,0,0,0,1
India,93,951.3,0,0,0,0,0,0,1
Nicaragua,94,943.5,0,0,0,0,0,0,1
Uzbekistan,95,936.8,0,0,0,0,0,0,1
Australia,96,936.5,0,0,1,0,0,1,1
Yugoslawia,97,927.7,0,0,1,0,0,1,1
Peru,98,926.3,0,0,0,0,0,0,1
Paraguay,99,920.3,0,0,0,0,0,0,1
Albania,100,916.4,0,0,0,0,0,0,1
Lebanon,101,912.1,0,0,0,0,0,0,1
Canada,102,1022.7,0,0,0,0,0,0,1
Guatemala,103,897,0,0,0,0,0,0,1
Bolivia,104,887.8,0,0,0,0,0,0,1
El Salvador,105,881.1,0,0,0,0,0,0,1
Kenya,106,869.2,0,0,0,0,0,0,1
Honduras,107,862.1,0,0,0,0,0,0,1
Cook Island,108,844.5,0,0,0,0,0,0,1
Azerbaijan,109,844.4,0,0,1,0,0,1,1
Ireland,110,781.5,0,0,0,0,0,0,1
Armenia,111,777.7,0,0,0,0,0,0,1
New Zeland,112,715.1,0,0,0,0,0,0,1
Malta,113,688.7,0,0,0,0,0,0,1
Wales,114,777.6,0,0,0,0,0,0,1